ID_MISSTA,RESOLUTION,ID_MISPHOT,Resolution_scan
1921_CAF_G-53_P_2500,2500,CF0G-53B1,722
1921_CAF_G-53_P_5000,5000,CF00G-531,722
1921_CAF_H-18_P_100,100,CF00H-185,724
1921_CAF_H-19_P_5000,5000,CF00H-191,722
1921_CAF_H-20_P_5000,5000,CF00H-201,722
1921_CAF_H-21_P_100,100,CF00H-215,724
1921_CAF_H-25BIS_P_100,100,CF-25BIS5,724
1921_CAF_H-26_P_100,100,CF00H-265,724
1921_CAF_H-27_P_100,100,CF00H-275,724
1921_CAF_H-29_P_100,100,CF00H-295,724
1921_CAF_H-30_P_2500,2500,CF00H-301,722
1921_CAF_H-31_P_100,100,CF00H-315,724
1921_CAF_H-33_P_5000,5000,CF00H-331,722
1921_CAF_H-35_P_100,100,CF00H-355,724
1921_CAF_H-39_P_100,100,CF00H-395,724
1921_CAF_H-40_P_8000,8000,CF00H-401,722
1921_CAF_H-41_P_8000,8000,CF00H-411,722
1921_CAF_H-43_P_5000,5000,CF00H-431,722
1921_CAF_H-44_P_9000,9000,CF00H-441,722
1921_CAF_H-46_P_100,100,CF00H-465,724
1921_CAF_H-47_P_100,100,CF00H-475,724
1921_CAF_H-48_P_100,100,CF00H-485,724
1921_CAF_H-50_P_100,100,CF00H-505,724
1921_CAF_H-51_P_5000,5000,CF00H-511,722
1921_CAF_H-51BIS_P_5000,5000,CF-51BIS1,722
1921_CAF_H-52_P_100,100,CF00H-525,724
1921_CAF_H-53_P_100,100,CF00H-535,724
1922_CAF_A-68_P_100,100,CF00A-685,725
1922_CAF_B-50_P_100,100,CF00B-505,725
1922_CAF_B-55_P_100,100,CF00B-555,725
1922_CAF_B-57_P_100,100,CF00B-575,725
1922_CAF_B-58_P_100,100,CF00B-585,721
1922_CAF_B-59_P_100,100,CF00B-595,725
1922_CAF_B-61_P_100,100,CF00B-615,725
1922_CAF_B-67_P_100,100,CF00B-671,721
1922_CAF_B-79_P_10000,10000,CF00B-791,721
1922_CAF_B-80_P_5000,5000,CF00B-801,721
1922_CAF_B-83_P_100,100,CF00B-835,725
1922_CAF_B-84_P_100,100,CF00B-845,725
1922_CAF_B-85_P_100,100,CF00B-855,725
1922_CAF_B-86_P_100,100,CF00B-865,725
1922_CAF_B-88_P_100,100,CF00B-881,721
1922_CAF_B-89_P_10000,10000,CF0B-89B1,721
1922_CAF_B-89_P_5000,5000,CF00B-891,721
1922_CAF_B-90_P_10000,10000,CF0B-90B1,721
1922_CAF_B-90_P_5000,5000,CF00B-901,721
1922_CAF_B-91_P_100,100,CF00B-915,725
1922_CAF_B-92_P_10000,10000,CF0B-92B1,721
1922_CAF_B-92_P_5000,5000,CF00B-921,721
1922_CAF_B-94_P_100,100,CF00B-945,725
1922_CAF_B-95_P_100,100,CF00B-951,721
1922_CAF_B-96_P_2000,2000,CF00B-961,750
1922_CAF_G-52_P_100,100,CF00G-525,724
1922_CAF_G-55_P_100,100,CF00G-555,724
1922_CAF_G-56_P_100,100,CF00G-565,724
1922_CAF_G-56_P_2000,2000,CF00G-561,722
1922_CAF_G-57_P_100,100,CF00G-575,724
1922_CAF_G-59_P_100,100,CF00G-595,724
1922_CAF_G-61_P_8000,8000,CF00G-611,722
1922_CAF_G-62_P_5000,5000,CF00G-621,722
1922_CAF_G-63_P_10000,10000,CF00G-631,722
1922_CAF_G-64_P_100,100,CF00G-645,724
1922_CAF_G-65_P_17000,17000,CF00G-651,722
1922_CAF_G-66_P_5000,5000,CF00G-661,722
1922_CAF_G-67_P_5000,5000,CF00G-671,722
1922_CAF_G-68_P_100,100,CF00G-685,724
1922_CAF_G-68_P_2500,2500,CF00G-681,722
1922_CAF_G-70_P_100,100,CF00G-705,724
1922_CAF_G-74_P_2500,2500,CF00G-741,722
1922_CAF_H-60_P_100,100,CF00H-605,724
1922_NP1_P_10000,10000,2219-0441,750
1922_NP1_P_5000,5000,2219-0451,750
1922_NP2 R1_P_5000,5000,2417-0241,750
1922_NP2 R1A_P_10000,10000,94PHQ5041,750
1922_NP2 R2_P_5000,5000,94PHQ4991,750
1922_NP2 R2A_P_10000,10000,94PHQ5051,750
1922_NP2 R3_P_5000,5000,94PHQ5001,750
1922_NP2 R4_P_5000,5000,94PHQ5011,750
1922_NP2 R5_P_5000,5000,94PHQ5021,750
1922_NP2 R6_P_5000,5000,94PHQ5031,750
1922_NP3_P_10000,10000,3042-0521,750
1922_NP3_P_5000,5000,3042-0511,750
1922_NP5_P_10000,10000,2914-0151,750
1922_NP7_P_10000,10000,2710-0171,750
1922_NP9_P_10000,10000,2810-0041,750
1923_CAF_A-100_P_5000,5000,CF0A-1001,721
1923_CAF_A-102_P_5000,5000,CFA-102B1,721
1923_CAF_A-102_P_9000,9000,CFOA-1021,721
